Player,Gls,Ast,xG,xA,Season
Juan Mata,0,2,1.1,2,19/20
Axel Tuanzebe,0,0,0,0,19/20
Timothy Fosu-Mensah,0,0,0.1,0.1,19/20
Phil Jones,0,0,0.2,0,19/20
Eric Bailly,0,0,0,0,19/20
Marcos Rojo,0,0,0.1,0,19/20
Diogo Dalot,0,0,0.2,0,19/20
Odion Ighalo,0,0,1.5,0.1,19/20
Tahith Chong,0,0,0.1,0,19/20
Angel Gomes,0,0,0,0.1,19/20
James Garner,0,0,0,0,19/20
Bruno Fernandes,18,12,15.4,11,20/21
Aaron Wan-Bissaka,2,4,0.9,2.4,20/21
Harry Maguire,2,1,2.1,0.3,20/21
Marcus Rashford,11,9,9.3,3.6,20/21
Luke Shaw,1,5,0.7,5.2,20/21
Victor Lindelöf,1,1,0.7,0.7,20/21
Fred,1,0,1.9,2.5,20/21
David de Gea,0,0,0,0,20/21
Scott McTominay,4,1,2.1,0.9,20/21
Paul Pogba,3,3,2.1,2.1,20/21
Mason Greenwood,7,2,7.4,1.8,20/21
Anthony Martial,4,3,6.5,2,20/21
Edinson Cavani,10,3,7.4,2.7,20/21
Dean Henderson,0,0,0,0,20/21
Nemanja Matić,0,0,0.3,0.4,20/21
Daniel James,3,1,2.3,1.2,20/21
Eric Bailly,0,0,0.1,0,20/21
Alex Telles,0,2,0.2,1.1,20/21
Juan Mata,1,2,1.1,0.8,20/21
Donny van de Beek,1,1,0.3,1,20/21
Axel Tuanzebe,0,0,0,0,20/21
Brandon Williams,0,0,0.1,0,20/21
Amad Diallo,0,1,0,0.5,20/21
Anthony Elanga,1,0,0.3,0,20/21
Timothy Fosu-Mensah,0,0,0,0.3,20/21
Shola Shoretire,0,0,0,0,20/21
Odion Ighalo,0,0,0,0,20/21
Hannibal Mejbri,0,0,0,0,20/21
William Thomas Fish,0,0,0,0,20/21
Christian Eriksen,10,10,6.8,12.3,17/18
Hugo Lloris,0,0,0,0,17/18
Jan Vertonghen,0,0,1.1,0.9,17/18
Harry Kane,30,2,25.4,2.8,17/18
Dele Alli,9,10,9,7.7,17/18
Eric Dier,0,2,2,1.8,17/18
Davinson Sánchez,0,0,0.8,0.1,17/18
Son Heung-min,12,6,10.3,4.8,17/18
Ben Davies,2,6,1.1,3.5,17/18
Kieran Trippier,0,5,0.3,3.5,17/18
Mousa Dembélé,0,0,0.5,0.8,17/18
Serge Aurier,2,2,0.7,1.9,17/18
